metric_type,metric_name,value
torque_average,mean,-2.055619708005582
torque_average,max,29.268112965201844
torque_average,min,-60.26959608675395
torque_average,sum,-7223.447653931615
torque_average,std,13.910037912770541
torque_average,joint_0_mean,-0.5758283187138489
torque_average,joint_0_max,7.267772943485102
torque_average,joint_0_min,-9.85355899337014
torque_average,joint_1_mean,-30.868697563907514
torque_average,joint_1_max,8.003194155186648
torque_average,joint_1_min,-60.26959608675395
torque_average,joint_2_mean,0.07751583617984313
torque_average,joint_2_max,7.168403057384493
torque_average,joint_2_min,-10.348253023915754
torque_average,joint_3_mean,14.38974043346649
torque_average,joint_3_max,29.268112965201844
torque_average,joint_3_min,-7.200579181289062
torque_average,joint_4_mean,0.12802036343266154
torque_average,joint_4_max,5.384615675991647
torque_average,joint_4_min,-3.184571907207715
torque_average,joint_5_mean,2.1263355123710586
torque_average,joint_5_max,9.377875686043165
torque_average,joint_5_min,-6.661667979441542
torque_average,joint_6_mean,0.3335757811322444
torque_average,joint_6_max,5.5631773268055476
torque_average,joint_6_min,-1.821216877427047
torque_current,mean,-2.056527147473928
torque_current,max,34.389922648692185
torque_current,min,-63.3983255500733
torque_current,sum,-7226.636396223384
torque_current,std,14.341878573366005
torque_current,joint_0_mean,-0.5777664897733095
torque_current,joint_0_max,9.160692893921608
torque_current,joint_0_min,-11.16968028885048
torque_current,joint_1_mean,-30.877958235173917
torque_current,joint_1_max,13.799391663645022
torque_current,joint_1_min,-63.3983255500733
torque_current,joint_2_mean,0.07608627950885256
torque_current,joint_2_max,9.107077319679732
torque_current,joint_2_min,-12.666574432017528
torque_current,joint_3_mean,14.392198327098063
torque_current,joint_3_max,34.389922648692185
torque_current,joint_3_min,-10.218386146196265
torque_current,joint_4_mean,0.12861373374361423
torque_current,joint_4_max,6.68521526998798
torque_current,joint_4_min,-3.3786620257614586
torque_current,joint_5_mean,2.129428916942569
torque_current,joint_5_max,12.0
torque_current,joint_5_min,-11.125579729853486
torque_current,joint_6_mean,0.33370743533663144
torque_current,joint_6_max,5.822609120070892
torque_current,joint_6_min,-1.953833824310708
velocity,mean,0.015470710034769799
velocity,max,0.7618660408219469
velocity,min,-0.6523465589943717
velocity,sum,54.36407506218107
velocity,std,0.16502520273729424
velocity,joint_0_mean,0.006894380868747794
velocity,joint_0_max,0.0692112192692065
velocity,joint_0_min,-0.07440602325135665
